"Sample","WGS/WES","Source","Organism","Events","Hyper","Body Site/Study","Status","Type","AEI","REI","ADAR","ADARB1","ADARB2"
"SRR1488651","SRR8233184","G","Hs","20808","0","Brain - Frontal Cortex (BA9)","normal","B","1.450","1.575","11.000","1.522","1.029"
"SRR1488672","SRR8233175","G","Hs","40249","0","Brain - Cortex","normal","B","1.917","2.861","48.940","11.325","8.569"
"SRR1488694","SRR8233130","G","Hs","58282","0","Breast - Mammary Tissue","normal","B","1.273","2.019","53.506","14.540","0.343"
"SRR1488715","SRR8233236","G","Hs","44803","0","Brain - Anterior cingulate cortex (BA24)","normal","B","2.069","2.027","32.661","7.916","2.825"
"SRR1488734","SRR8233245","G","Hs","42913","0","Adrenal Gland","normal","B","1.138","1.810","41.691","6.228","0.147"
"SRR1488751","SRR8233237","G","Hs","200956","0","Brain - Cerebellar Hemisphere","normal","B","2.529","2.940","128.242","95.448","5.627"
"SRR1488770","SRR8233249","G","Hs","63425","0","Prostate","normal","B","2.031","5.702","74.918","27.490","1.701"
"SRR1488790","NA","G","Hs","56253","0","Liver","normal","B","2.173","1.578","31.059","2.233","0.029"
"SRR1488812","SRR8233725","G","Hs","40001","0","Testis","normal","B","0.737","1.089","52.531","8.568","1.607"
"SRR1488836","SRR8233236","G","Hs","106067","0","Brain - Spinal cord (cervical c-1)","normal","B","2.128","2.033","48.352","8.783","10.316"
"SRR1488858","SRR8233750","G","Hs","88482","0","Esophagus - Mucosa","normal","B","1.721","4.682","65.652","18.531","1.050"
"SRR1488881","SRR8233688","G","Hs","103620","0","Esophagus - Muscularis","normal","B","2.100","0.000","58.893","55.811","1.202"
"SRR1488899","SRR8233214","G","Hs","89673","0","Adipose - Subcutaneous","normal","B","2.044","2.485","54.598","16.415","0.069"
"SRR1488918","SRR8233696","G","Hs","66407","0","Nerve - Tibial","normal","B","1.773","2.333","79.436","15.788","6.336"
"SRR1488939","SRR8233739","G","Hs","31256","0","Adipose - Visceral (Omentum)","normal","B","0.895","2.305","53.110","8.824","0.018"
"SRR1488960","SRR8233482","G","Hs","98465","0","Adipose - Subcutaneous","normal","B","2.261","2.293","72.488","27.598","0.220"
"SRR1488986","SRR8233155","G","Hs","40801","0","Skin - Not Sun Exposed (Suprapubic)","normal","B","1.319","1.374","40.763","13.928","0.801"
"SRR1489007","SRR8233742","G","Hs","68623","0","Uterus","normal","B","1.436","3.302","109.987","47.408","0.462"
"SRR1489030","SRR8233292","G","Hs","10797","0","Muscle - Skeletal","normal","B","0.410","0.232","11.091","5.106","0.006"
"SRR1489054","SRR8233124","G","Hs","136056","0","Brain - Cerebellum","normal","B","2.554","2.401","70.740","38.215","3.568"
"SRR1489075","SRR8233537","G","Hs","46425","19172","Testis","normal","B","1.117","2.212","73.383","8.519","2.970"
"SRR1489092","SRR8233533","G","Hs","50642","29188","Artery - Coronary","normal","B","1.602","17.843","120.549","109.669","0.077"
"SRR1489116","SRR8233148","G","Hs","26925","0","Whole Blood","normal","B","1.005","0.335","71.250","0.748","0.625"
"SRR1489137","SRR8233218","G","Hs","66033","0","Brain - Cortex","normal","B","2.177","2.419","81.700","21.567","9.318"
"SRR1489155","SRR8233237","G","Hs","43434","0","Brain - Amygdala","normal","B","1.698","1.440","20.537","2.159","9.050"
"SRR1489177","SRR8233236","G","Hs","102978","0","Brain - Nucleus accumbens (basal ganglia)","normal","B","2.458","0.970","30.530","2.934","5.082"
"SRR1489199","SRR8233180","G","Hs","51301","0","Adipose - Subcutaneous","normal","B","1.627","3.655","92.504","17.143","0.024"
"SRR1489220","NA","G","Hs","33711","0","Cells - Leukemia cell line (CML)","normal","B","1.063","0.440","98.069","7.214","0.028"
"SRR1489246","NA","G","Hs","22344","0","Adipose - Visceral (Omentum)","normal","B","0.896","0.975","50.673","15.663","0.009"
"SRR1489265","SRR8233747","G","Hs","43703","0","Lung","normal","B","1.028","1.432","66.296","47.206","1.847"
"SRR1489286","SRR8233211","G","Hs","13962","0","Muscle - Skeletal","normal","B","0.797","1.049","9.434","4.340","0.043"
"SRR1489307","SRR8233273","G","Hs","11853","0","Muscle - Skeletal","normal","B","0.635","0.241","5.934","2.760","0.315"
"SRR1489328","SRR8233739","G","Hs","54218","0","Esophagus - Gastroesophageal Junction","normal","B","1.393","13.351","57.007","76.540","0.731"
"SRR1489349","SRR8233186","G","Hs","104902","0","Colon - Sigmoid","normal","B","2.017","4.167","77.805","25.190","0.597"
"SRR1489370","SRR8233650","G","Hs","59336","31728","Skin - Sun Exposed (Lower leg)","normal","B","1.683","2.049","68.005","21.739","0.209"
"SRR1489394","SRR8233278","G","Hs","66927","0","Adipose - Visceral (Omentum)","normal","B","2.344","4.689","74.089","22.266","0.293"
"SRR1489416","SRR8233597","G","Hs","41181","0","Lung","normal","B","0.945","2.899","78.196","44.398","2.333"
"SRR1489438","SRR8233144","G","Hs","53466","0","Artery - Tibial","normal","B","2.748","11.930","94.909","272.979","0.013"
"SRR1489461","SRR8233241","G","Hs","39577","0","Artery - Tibial","normal","B","1.733","16.454","87.694","103.967","0.350"
"SRR1489502","SRR8233699","G","Hs","53904","0","Brain - Cortex","normal","B","1.792","1.293","48.460","8.456","10.405"
"SRR1489524","NA","G","Hs","43582","0","Cells - Leukemia cell line (CML)","normal","B","0.929","0.447","66.040","5.093","0.015"
"SRR1489546","SRR8233681","G","Hs","42322","0","Esophagus - Mucosa","normal","B","0.890","0.836","51.328","5.593","0.316"
"SRR1489570","SRR8233213","G","Hs","63631","0","Artery - Tibial","normal","B","2.476","21.557","80.318","205.552","0.181"
"SRR1489589","NA","G","Hs","119588","0","Breast - Mammary Tissue","normal","B","2.320","2.224","66.727","14.311","0.099"
"SRR1489610","SRR8233518","G","Hs","9946","3549","Muscle - Skeletal","normal","B","0.519","0.425","7.479","11.852","0.091"
"SRR1489631","SRR8233704","G","Hs","67803","0","Prostate","normal","B","1.352","2.080","62.465","17.284","0.638"
"SRR1489648","SRR8233116","G","Hs","82500","0","Adipose - Visceral (Omentum)","normal","B","2.503","4.281","87.612","18.979","0.326"
"SRR1489670","SRR8233168","G","Hs","53095","0","Small Intestine - Terminal Ileum","normal","B","1.218","4.035","53.897","13.156","1.074"
"SRR1489693","SRR8233750","G","Hs","40619","0","Heart - Left Ventricle","normal","B","1.378","2.003","15.279","3.301","0.021"
"SRR1489715","SRR8233127","G","Hs","29787","0","Heart - Atrial Appendage","normal","B","1.759","3.698","18.039","3.083","0.032"
"SRR1489734","SRR8233686","G","Hs","55271","0","Skin - Not Sun Exposed (Suprapubic)","normal","B","1.231","0.784","47.847","12.649","0.622"
"SRR1489757","SRR8233709","G","Hs","34579","0","Liver","normal","B","1.736","10.023","49.827","3.121","0.205"
"SRR1489779","NA","G","Hs","63955","0","Brain - Anterior cingulate cortex (BA24)","normal","B","1.817","1.452","26.085","5.798","5.752"
"SRR1489803","SRR8233195","G","Hs","105503","0","Breast - Mammary Tissue","normal","B","2.128","3.205","70.480","11.785","0.167"
"SRR1489821","NA","G","Hs","51685","0","Brain - Amygdala","normal","B","1.782","1.519","34.892","6.818","5.604"
"SRR1489839","SRR8233130","G","Hs","71001","0","Small Intestine - Terminal Ileum","normal","B","1.145","0.670","65.972","5.681","0.470"
