Cancer_type,Pearson_r,p_value,Significance,n
ACC,-0.099,0.38734,ns,79
BLCA,0.009,0.858643,ns,406
BRCA,-0.003,0.928981,ns,1097
CESC,0.131,0.02254,*,304
CHOL,0.445,0.007399,**,35
COAD,-0.033,0.586411,ns,274
DLBC,0.083,0.574458,ns,48
ESCA,-0.113,0.155901,ns,159
GBM,-0.045,0.576642,ns,156
HNSC,-0.014,0.755253,ns,500
KICH,0.009,0.94395,ns,65
KIRC,-0.082,0.05848,ns,530
KIRP,-0.086,0.143937,ns,288
LGG,0.027,0.54775,ns,512
LIHC,0.016,0.765067,ns,370
LUAD,-0.026,0.559316,ns,516
LUSC,0.11,0.014149,*,501
MESO,0.087,0.428315,ns,86
OV,-0.046,0.377537,ns,371
PAAD,-0.068,0.368179,ns,177
PCPG,-0.111,0.141698,ns,177
PRAD,-0.025,0.575436,ns,498
READ,-0.017,0.871255,ns,94
SARC,0.03,0.631236,ns,259
SKCM,0.026,0.795689,ns,103
STAD,0.028,0.591881,ns,368
TGCT,-0.053,0.518149,ns,150
THCA,-0.029,0.521018,ns,501
THYM,0.421,2e-06,***,119
UCEC,0.081,0.288665,ns,175
UCS,-0.121,0.373949,ns,56
UVM,0.144,0.203166,ns,80
