Comparison,p_adjusted,Significance
PRAD_vs_BRCA,1.1271097008913094e-56,***
PRAD_vs_THYM,0.3163538533289793,ns
PRAD_vs_MESO,1.8587165456583337e-05,***
PRAD_vs_COAD,7.950409237557941e-25,***
PRAD_vs_STAD,2.3680785219156527e-47,***
PRAD_vs_CHOL,2.07891458209858e-06,***
PRAD_vs_KIRC,1.0272379534750208e-08,***
PRAD_vs_THCA,3.3422810327434806e-49,***
PRAD_vs_HNSC,1.0207516289182213e-06,***
PRAD_vs_READ,3.836909818125221e-19,***
PRAD_vs_SKCM,0.006064878809330815,**
PRAD_vs_LGG,9.578572702171875e-32,***
PRAD_vs_DLBC,6.021514065318406e-07,***
PRAD_vs_KICH,1.835358523265917e-18,***
PRAD_vs_UCS,0.0061078109225590005,**
PRAD_vs_ACC,0.6167902321705865,ns
PRAD_vs_PCPG,1.3137816875277463e-37,***
PRAD_vs_UVM,2.6252862382969478e-17,***
UCEC_vs_BLCA,0.0006644958563639921,***
UCEC_vs_TGCT,0.27209301524911134,ns
UCEC_vs_ESCA,9.425919952447737e-23,***
UCEC_vs_PAAD,0.007365066358687595,**
UCEC_vs_KIRP,2.2169773651095913e-13,***
UCEC_vs_LIHC,1.9869349100182494e-25,***
UCEC_vs_CESC,2.9756532393922937e-09,***
UCEC_vs_SARC,0.14078784749668635,ns
UCEC_vs_BRCA,1.7856681813088524e-07,***
UCEC_vs_THYM,0.0016115075776309178,**
UCEC_vs_MESO,0.4556012574632005,ns
UCEC_vs_COAD,5.639538935751572e-23,***
UCEC_vs_STAD,3.6284933918983895e-16,***
UCEC_vs_CHOL,0.011738731903408066,*
UCEC_vs_KIRC,0.34736981726164445,ns
UCEC_vs_THCA,1.2867786882371954e-08,***
UCEC_vs_HNSC,1.4820653117308033e-11,***
UCEC_vs_READ,4.203037619570461e-18,***
UCEC_vs_SKCM,4.632632613690167e-06,***
UCEC_vs_LGG,0.011633688582103369,*
UCEC_vs_DLBC,1.85712403356929e-08,***
UCEC_vs_KICH,6.273844810799237e-17,***
UCEC_vs_UCS,0.9917513661584608,ns
UCEC_vs_ACC,0.06333478697307754,ns
UCEC_vs_PCPG,3.112867340416027e-11,***
UCEC_vs_UVM,3.1983712869614406e-17,***
BLCA_vs_TGCT,0.025111771074254868,*
BLCA_vs_ESCA,1.9397897970980163e-37,***
BLCA_vs_PAAD,0.31334595581499575,ns
BLCA_vs_KIRP,0.00023341586847322048,***
BLCA_vs_LIHC,3.759717505442093e-52,***
BLCA_vs_CESC,0.015558653792423662,*
BLCA_vs_SARC,2.050728330430735e-08,***
BLCA_vs_BRCA,6.689115544143958e-31,***
BLCA_vs_THYM,0.6736391614522776,ns
BLCA_vs_MESO,0.000893372586825012,***
BLCA_vs_COAD,4.397582488642481e-13,***
BLCA_vs_STAD,8.897641891077464e-34,***
BLCA_vs_CHOL,6.13157021097184e-05,***
BLCA_vs_KIRC,8.37043239774861e-05,***
BLCA_vs_THCA,1.96046330225211e-28,***
BLCA_vs_HNSC,0.0009172465848948063,***
BLCA_vs_READ,1.9934198226559263e-11,***
BLCA_vs_SKCM,0.062334306480410245,ns
BLCA_vs_LGG,2.8572363858842596e-15,***
BLCA_vs_DLBC,0.00018893245331240449,***
BLCA_vs_KICH,4.1607826953339406e-10,***
BLCA_vs_UCS,0.0443734340623309,*
BLCA_vs_ACC,0.4259971742522295,ns
BLCA_vs_PCPG,1.5212271430755754e-23,***
BLCA_vs_UVM,3.74295376722958e-09,***
