De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 192-RNA-SBS1, Signature 0 (100.00%), 0.00,  0.00, 0.000, 1.00, 1.00
Signature 192-RNA-SBS2, Signature 1 (100.00%), 0.00,  0.00, 0.000, 1.00, 1.00
Signature 192-RNA-SBS3, Signature 2 (100.00%), 0.00,  0.00, 0.000, 1.00, 1.00
Signature 192-RNA-SBS4, Signature 3 (100.00%), 0.00,  0.00, 0.000, 1.00, 1.00
Signature 192-RNA-SBS5, Signature 4 (100.00%), 0.00,  0.00, 0.000, 1.00, 1.00
