Sample Names	MutationType	0	1	2	3	4
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	2002.0	1.0	0.0	0.0	0.0	0.0
BLCA	1325.0	1.0	0.0	0.0	0.0	0.0
BLCA	3314.0	1.0	0.0	0.0	0.0	0.0
BLCA	2307.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0					
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0					
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0					
BLCA	1898.0	1.0	0.0	0.0	0.0	0.0
BLCA	2491.0	1.0	0.0	0.0	0.0	0.0
BLCA	5150.0	1.0	0.0	0.0	0.0	0.0
BLCA	971.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0					
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0					
BLCA	394.0	1.0	0.0	0.0	0.0	0.0
BLCA	204.0	1.0	0.0	0.0	0.0	0.0
BLCA	1373.0	1.0	0.0	0.0	0.0	0.0
BLCA	265.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0					
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0					
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	2178.0	1.0	0.0	0.0	0.0	0.0
BLCA	2403.0	1.0	0.0	0.0	0.0	0.0
BLCA	4179.0	1.0	0.0	0.0	0.0	0.0
BLCA	1065.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0					
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0	1.0	0.0	0.0	0.0	0.0
BLCA	0.0					
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	2002.0	1.0	0.0	0.0	0.0	0.0
CESC	1325.0	1.0	0.0	0.0	0.0	0.0
CESC	3314.0	1.0	0.0	0.0	0.0	0.0
CESC	2307.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0					
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0					
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0					
CESC	1898.0	1.0	0.0	0.0	0.0	0.0
CESC	2491.0	1.0	0.0	0.0	0.0	0.0
CESC	5150.0	1.0	0.0	0.0	0.0	0.0
CESC	971.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0					
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
CESC	0.0	1.0	0.0	0.0	0.0	0.0
